Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013]
Thailand,THA,CO2 emissions (kt),EN.ATM.CO2E.KT,95833.378,105235.566,115187.804,130735.884,145469.89,167585.567,186965.662,193096.886,171065.55,182810.951,188355.455,202132.374,215975.299,232198.107,252344.605,256169.286,261211.411,262205.168,261838.468,276587.142,295281.508,..,..,..
Timor-Leste,TMP,CO2 emissions (kt),EN.ATM.CO2E.KT,..,..,..,..,..,..,..,..,..,..,..,..,161.348,161.348,176.016,176.016,179.683,183.35,190.684,183.35,183.35,..,..,..
Togo,TGO,CO2 emissions (kt),EN.ATM.CO2E.KT,773.737,843.41,836.076,865.412,832.409,953.42,1059.763,986.423,1166.106,1536.473,1356.79,1162.439,1232.112,1463.133,1397.127,1338.455,1221.111,1316.453,1455.799,1503.47,1540.14,..,..,..
Tonga,TON,CO2 emissions (kt),EN.ATM.CO2E.KT,77.007,91.675,88.008,102.676,106.343,110.01,110.01,113.677,110.01,128.345,121.011,143.013,146.68,176.016,172.349,157.681,176.016,154.014,161.348,172.349,157.681,..,..,..
Trinidad and Tobago,TTO,CO2 emissions (kt),EN.ATM.CO2E.KT,16959.875,21048.58,20986.241,16820.529,19853.138,20967.906,21781.98,19229.748,19317.756,22816.074,24513.895,25023.608,26890.111,27696.851,30993.484,28580.598,32152.256,46460.89,42540.867,48177.046,50681.607,..,..,..
Tunisia,TUN,CO2 emissions (kt),EN.ATM.CO2E.KT,13267.206,15489.408,15023.699,16501.5,15940.449,15735.097,16758.19,16945.207,18001.303,18331.333,19922.811,20817.559,21015.577,21396.945,22445.707,22801.406,23127.769,23868.503,25012.607,24807.255,25878.019,..,..,..
Turkey,TUR,CO2 emissions (kt),EN.ATM.CO2E.KT,145854.925,148612.509,153104.584,159133.132,156844.924,171971.299,188197.774,198527.713,200606.902,196767.553,216147.648,194538.017,205678.363,218509.196,225406.823,237368.577,261570.777,284658.209,285274.265,277844.923,298002.422,..,..,..
Turkmenistan,TKM,CO2 emissions (kt),EN.ATM.CO2E.KT,..,..,28067.218,27663.848,33476.043,34620.147,31363.851,30157.408,26490.408,34759.493,35364.548,39269.903,40245.325,42214.504,43336.606,45375.458,46255.538,53516.198,55093.008,48525.411,53054.156,..,..,..
Turks and Caicos Islands,TCA,CO2 emissions (kt),EN.ATM.CO2E.KT,..,..,..,..,..,11.001,11.001,11.001,14.668,14.668,14.668,14.668,99.009,102.676,102.676,121.011,143.013,157.681,157.681,161.348,161.348,..,..,..
Tuvalu,TUV,CO2 emissions (kt),EN.ATM.CO2E.KT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Uganda,UGA,CO2 emissions (kt),EN.ATM.CO2E.KT,803.073,828.742,839.743,832.409,762.736,993.757,1114.768,1147.771,1349.456,1408.128,1532.806,1620.814,1668.485,1708.822,1851.835,2284.541,2654.908,3127.951,3160.954,3366.306,3784.344,..,..,..
Ukraine,UKR,CO2 emissions (kt),EN.ATM.CO2E.KT,..,..,641680.996,546111.642,447010.967,445943.87,412335.815,341196.015,328636.54,332549.229,320774.492,321650.905,318684.302,352259.354,343121.19,333869.349,326480.344,327595.112,323458.736,261812.799,304804.707,..,..,..
United Arab Emirates,ARE,CO2 emissions (kt),EN.ATM.CO2E.KT,52009.061,57010.849,58136.618,65980.331,73130.981,70641.088,41059.399,41646.119,81495.408,78374.791,112562.232,101414.552,84704.033,106841.712,113240.627,116148.558,123874.927,139404.672,158935.114,162602.114,167596.568,..,..,..
United Kingdom,GBR,CO2 emissions (kt),EN.ATM.CO2E.KT,571050.909,584351.118,578062.213,558579.442,555238.805,555667.844,571362.604,545572.593,545290.234,535550.682,543662.086,550552.379,531938.687,540640.478,540409.457,541986.267,542041.272,528906.078,522466.826,475107.521,493504.86,..,..,..
United States,USA,CO2 emissions (kt),EN.ATM.CO2E.KT,4768137.761,4826703.418,4922195.765,5029767.21,5121559.554,5156168.7,5286046.506,5419440.965,5456092.63,5531691.502,5713560.034,5601404.839,5650949.676,5681664.468,5790765.052,5826393.624,5737615.554,5828696.5,5656838.878,5311840.184,5433056.536,..,..,..
Uruguay,URY,CO2 emissions (kt),EN.ATM.CO2E.KT,3993.363,4554.414,5170.47,4466.406,4066.703,4591.084,5441.828,5555.505,5687.517,6725.278,5306.149,5089.796,4620.42,4598.418,5610.51,5775.525,6648.271,5999.212,8331.424,7891.384,6644.604,..,..,..
Uzbekistan,UZB,CO2 emissions (kt),EN.ATM.CO2E.KT,..,..,114014.364,118532.108,110981.755,100912.173,103189.38,101781.252,117571.354,117421.007,119951.237,122037.76,126914.87,122683.152,119305.845,111887.504,116529.926,116944.297,120039.245,116606.933,104443.494,..,..,..
Vanuatu,VUT,CO2 emissions (kt),EN.ATM.CO2E.KT,69.673,66.006,66.006,66.006,66.006,66.006,84.341,88.008,84.341,84.341,80.674,88.008,84.341,80.674,55.005,55.005,47.671,95.342,91.675,117.344,117.344,..,..,..
"Venezuela, RB",VEN,CO2 emissions (kt),EN.ATM.CO2E.KT,122162.438,115440.827,105873.624,124355.304,129947.479,133236.778,122752.825,133962.844,167321.543,172616.691,152415.188,172525.016,193261.901,192103.129,168267.629,181630.177,171824.619,175784.979,186811.648,185341.181,201747.339,..,..,..
Vietnam,VNM,CO2 emissions (kt),EN.ATM.CO2E.KT,21407.946,21451.95,21477.619,23006.758,26230.051,29090.311,34667.818,45100.433,47513.319,47693.002,53644.543,61139.891,70806.103,78767.16,90549.231,97941.903,102455.98,113651.331,127164.226,140057.398,150229.656,..,..,..
Virgin Islands (U.S.),VIR,CO2 emissions (kt),EN.ATM.CO2E.KT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
West Bank and Gaza,WBG,CO2 emissions (kt),EN.ATM.CO2E.KT,..,..,..,..,..,..,..,396.036,601.388,649.059,792.072,1349.456,1155.105,1279.783,1866.503,2742.916,2266.206,2324.878,2053.52,2090.19,2365.215,..,..,..
"Yemen, Rep.",YEM,CO2 emissions (kt),EN.ATM.CO2E.KT,9596.539,10109.919,14381.974,9431.524,11367.7,11250.356,14935.691,15474.74,12200.109,13894.263,14638.664,16252.144,15764.433,17304.573,18881.383,20043.822,20795.557,21712.307,22207.352,23058.096,21851.653,..,..,..
Zambia,ZMB,CO2 emissions (kt),EN.ATM.CO2E.KT,2445.889,2416.553,2456.89,2500.894,2420.22,2170.864,1870.17,2390.884,2313.877,1807.831,1818.832,1906.84,1969.179,2101.191,2130.527,2273.54,2225.869,1653.817,1844.501,2156.196,2427.554,..,..,..
Zimbabwe,ZWE,CO2 emissions (kt),EN.ATM.CO2E.KT,15504.076,15823.105,16901.203,16208.14,17645.604,15130.042,14994.363,14407.643,14253.629,15834.106,13886.929,12563.142,11932.418,10626.966,9926.569,10773.646,10344.607,10212.595,8148.074,8734.794,9427.857,..,..,..
